,url_list,rate,title,author,description,genre,max_ep,like_tot_sum,subscribe,num_of_webtoon,total_pic_type,duration(day)
0,https://www.webtoons.com/en/romance/subzero/list?title_no=1468,9.8,SubZero,Junepurrr,"What would you sacrifice to save your family?  How far would you go to protect your people? For Clove, the last princess of a near-extinct Dragon clan, the answer is the unthinkable:  MARRY your greatest sworn enemy in an effort to bring peace to your land.",Romance,103,16M,2.5M,0,1,196
1,https://www.webtoons.com/en/fantasy/the-first-night-with-the-duke/list?title_no=1267,9.64,The First Night With the Duke,MSG / Teava,"A handsome, selfish noble falls for a beautiful, kind commoner -- at least, that’s how the story’s supposed to go. When an average college student wakes up as Ripley, an extra in her favorite romance novel, she resolves to enjoy the luxuries of her character’s status while watching the novel's plot unfold from the sidelines. However, her plans are soon derailed when she finds herself in bed with no other than Duke Zeronis, the novel’s hero! Dodging the villainess’ schemes, the Duke’s advances, and her own feelings, can Ripley keep the story on track and survive beyond the first night?",Fantasy,48,5.2M,952.2K,0,2,1368
2,https://www.webtoons.com/en/romance/nice-to-meet-you/list?title_no=2066,9.83,Nice To Meet You,Wishroomness,"A ditsy university student Mew finds a lost student card. Instead of doing the sensible thing, Mew decides to let fate take the wheel and try something silly. Little did she know, she would be confronting the owner of the card, Daze who has some things to say about what she did. Did Mew make the biggest mistake of her life? or the best decision of her life? Follow these two adorable goofballs to find out!",Romance,43,5.1M,1.1M,0,2,833
3,https://www.webtoons.com/en/comedy/rooftops-and-roommates/list?title_no=2576,9.39,Rooftops & Roommates,Zaanart,"Jeb is an architecture major at university, rooming with his best friend Todd. There's just one problem... Jeb’s secretly a gargoyle! Between studying, partying, and a bad ghost problem, will Jeb be able to keep his true identity a secret?",Comedy,18,"961,486",332.8K,0,5,371
4,https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578,9.72,Everything is Fine,Mike Birchall,"Sam and Maggie are a normal couple, in a normal house, in a normal neighborhood. There is nothing strange about their heads, their neighbors or their sweet little dog. Everything is Fine.",Horror,18,1M,388.8K,0,3,1043
5,https://www.webtoons.com/en/romance/to-love-your-enemy/list?title_no=2114,9.76,To Love Your Enemy,Jungyoon / Taegeon,"Having mastered the art of lying her way through life, Yeonhee Bae has vowed to leave her past behind and make a fresh start for herself by going to college at 24. But when she runs into someone who knows a secret from her past that could completely ruin her reputation, her hopes for a perfect life suddenly start to crumble. Amidst college gossip, crushes, and jealousy, can the two set aside their differences and embrace each other for who they really are?",Romance,86,10.3M,1.7M,0,2,693
6,https://www.webtoons.com/en/fantasy/tower-of-god/list?title_no=95,9.86,Tower of God,SIU,What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desire—it's here. ,Fantasy,496,42.9M,2.8M,0,1,112
7,https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958,9.73,My Giant Nerd Boyfriend,fishball,"Having a boyfriend who's a full foot taller than you might seem adorable at first, but it usually just ends up causing a whole bunch of minor inconveniences. Follow Fishball as she navigates the Malaysian life with her 6'5"" geeky boyfriend.",Slice of life,618,49.1M,2.1M,0,5,252
8,https://www.webtoons.com/en/thriller/its-mine/list?title_no=2010,9.74,It's Mine,LuckS,"There’s nothing that Yohan Do doesn’t know about his crush, Dajeong. Where she sits in class, works after school... and even where she lives. But unable to approach her, he watches her every move from afar and will do anything to protect her. Anything.",Thriller,103,6.5M,1M,0,1,364
9,https://www.webtoons.com/en/romance/your-smile-is-a-trap/list?title_no=2052,9.79,Your Smile is a Trap,AENGO,"Ex-idol trainee Kiyu has lived his whole life adored by everyone for his good looks. But he dreams of ordinary high school life, so when he puts on glasses to blend in with his peers, he finds that making friends is a lot harder when you don’t have your looks to fall back on. Not to mention he’s also socially awkward, his new seatmate has a permanent scowl on her face, and his fans have tracked him down at his new school.",Romance,48,3.6M,743K,0,2,270
10,https://www.webtoons.com/en/tiptoon/webtoon-now/list?title_no=2025,9.27,WEBTOON Now,LOZOLZ / Wyatt the Cat,Get your WEBTOON news here!,Informative,140,1.8M,450.5K,0,0,931
