code,rate,title,author,description,genre_1,genre_2,age,max_ep,rank_week_pop,rank_week_view,rank_gen3_pop,rank_gen3_view,rank_gen10_pop,rank_gen10_view,rwp,rwv,rg3p,rg3v,rg10p,rg10v,rank_sum,rank_avg,rank_sum_r,rank_avg_r
183559,9.93,신의 탑,SIU,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년그리고 그런 소년을 시험하는 탑,스토리,판타지,12세 이용가,499,1,1,1,10,1,2,1,1,1,5,1,2,2,1,1,1
758037,9.84,참교육,채용택 / 한가람,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!,스토리,액션,15세 이용가,40,2,5,2,76,1,7,2,9,2,29,1,6,11,5.5,7,7
648419,9.82,뷰티풀 군바리,설이 / 윤성원,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,스토리,드라마,15세 이용가,306,3,2,11.66666667,15,3,11,3,2,17,6,5,11,5,2.5,4,4
602910,9.86,윈드브레이커,조용석,혼자서 자전거를 즐겨타던 모범생 조자현.원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,스토리,스포츠,12세 이용가,373,4,3,19,26,1,1,4,5,24,9,1,1,9,4.5,6,6
733074,9.86,백수세끼,치즈,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,스토리,드라마,전체연령가,86,5,7,26,247.3333333,8,87.33333333,6,13,33,72,16,84,19,9.5,14,14
749632,9.51,파이게임,배진수,"시간이 흐르면 돈이 쌓인다.피가 흐르면 시간이 쌓인다.과연 최후에 남을 상금과 승자는 누가 될 것인가?짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 <머니게임>의 후속편!",스토리,스릴러,15세 이용가,57,7,9,34.33333333,290.6666667,4,56,9,16,44,85,8,50,25,12.5,18,18
728750,9.96,장씨세가 호위무사,조형근 / 김인호,‘당신이 부른 것이오. 나란 사람을... ’은둔고수 광휘. 호위무사 되다.웹소설 원작 웰메이드 무협 시대극!,스토리,액션,12세 이용가,116,6,8,31.66666667,253.3333333,10,26.33333333,7,15,41,74,19,26,22,11,17,17
739115,9.98,앵무살수,김성진,평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,스토리,판타지,15세 이용가,71,10,10,52,327.6666667,12,79,13,18,59,93,23,75,31,15.5,23,23
769317,8.93,삼매경,이원식 / 꿀찬,학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,스토리,액션,15세 이용가,18,11,13,62.66666667,388.3333333,20.66666667,43,15,27,66,100,40,40,42,21,28,28
759940,9.15,만렙돌파,"성불예정,홍실 / 미노","알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",스토리,판타지,15세 이용가,37,12,15,65,394.3333333,15.33333333,99,16,32,67,102,29,98,48,24,33,33
