,kor_title,소년만화체,순정만화체,카툰체,실사체,그래픽노블체,그외(공동작가)
0,신의 탑,1.0,0.0,0.0,0.0,0.0,0.0
1,참교육,0.0,0.0,0.0,1.0,0.0,0.0
2,뷰티풀 군바리,1.0,0.0,0.0,0.0,0.0,0.0
3,윈드브레이커,0.0,0.0,0.0,1.0,0.0,0.0
4,백수세끼,1.0,0.0,0.0,0.0,0.0,0.0
5,파이게임,1.0,0.0,0.0,0.0,0.0,0.0
6,장씨세가 호위무사,0.0,0.0,0.0,1.0,0.0,0.0
7,앵무살수,0.0,0.0,0.0,1.0,0.0,0.0
8,삼매경,1.0,0.0,0.0,0.0,0.0,0.0
9,만렙돌파,1.0,0.0,0.0,0.0,0.0,0.0
10,소녀의 세계,0.0,1.0,0.0,0.0,0.0,0.0
11,요리GO,1.0,0.0,0.0,0.0,0.0,0.0
12,칼가는 소녀,0.0,1.0,0.0,0.0,0.0,0.0
13,유일무이 로맨스,0.0,1.0,0.0,0.0,0.0,0.0
14,리턴 투 플레이어,1.0,0.0,0.0,0.0,0.0,0.0
15,잔불의 기사,1.0,0.0,0.0,0.0,0.0,0.0
16,히어로메이커,1.0,0.0,0.0,0.0,0.0,0.0
17,결혼생활 그림일기,0.0,0.0,1.0,0.0,0.0,0.0
18,오늘의 순정망화,0.0,1.0,0.0,0.0,0.0,0.0
19,수영만화일기,0.0,0.0,1.0,0.0,0.0,0.0
20,평범한 8반,0.0,0.0,1.0,0.0,0.0,0.0
21,황제와의 하룻밤,0.0,1.0,0.0,0.0,0.0,0.0
22,아는 여자애,0.0,1.0,0.0,0.0,0.0,0.0
23,순정말고 순종,0.0,1.0,0.0,0.0,0.0,0.0
24,꿈의 기업,0.0,0.0,1.0,0.0,0.0,0.0
25,야생천사 보호구역,0.0,1.0,0.0,0.0,0.0,0.0
26,착한건 돈이된다,1.0,0.0,0.0,0.0,0.0,0.0
27,와이키키 뱀파이어,0.0,1.0,0.0,0.0,0.0,0.0
28,왕따협상,1.0,0.0,0.0,0.0,0.0,0.0
29,"선배, 그 립스틱 바르지 마요",0.0,1.0,0.0,0.0,0.0,0.0
30,이중첩자,0.0,1.0,0.0,0.0,0.0,0.0
31,원하는 건 너 하나,0.0,1.0,0.0,0.0,0.0,0.0
32,백호랑,0.0,1.0,0.0,0.0,0.0,0.0
33,마지막 지수,0.0,1.0,0.0,0.0,0.0,0.0
34,라서드,1.0,0.0,0.0,0.0,0.0,0.0
35,살아간다,1.0,0.0,0.0,0.0,0.0,0.0
36,중독연구소,1.0,0.0,0.0,0.0,0.0,0.0
37,모락모락 왕세자님,0.0,1.0,0.0,0.0,0.0,0.0
38,드로잉 레시피,0.0,0.0,1.0,0.0,0.0,0.0
39,이탄국의 자청비,0.0,1.0,0.0,0.0,0.0,0.0
40,그림자 신부,0.0,1.0,0.0,0.0,0.0,0.0
41,개밥 먹는 남자,1.0,0.0,0.0,0.0,0.0,0.0
42,보살님이 캐리해!,1.0,0.0,0.0,0.0,0.0,0.0
43,사막에 핀 달,0.0,1.0,0.0,0.0,0.0,0.0
44,트리거,1.0,0.0,0.0,0.0,0.0,0.0
45,오로지 오로라,0.0,1.0,0.0,0.0,0.0,0.0
46,기사님을 지켜줘,0.0,1.0,0.0,0.0,0.0,0.0
47,헬로맨스,0.0,1.0,0.0,0.0,0.0,0.0
48,여신강림,0.0,1.0,0.0,0.0,0.0,0.0
49,바른연애 길잡이,0.0,1.0,0.0,0.0,0.0,0.0
50,한림체육관,0.0,0.0,0.0,1.0,0.0,0.0
51,엽총소년,1.0,0.0,0.0,0.0,0.0,0.0
52,하루만 네가 되고 싶어,0.0,1.0,0.0,0.0,0.0,0.0
53,사신소년,1.0,0.0,0.0,0.0,0.0,0.0
54,중증외상센터 : 골든 아워,0.0,1.0,0.0,0.0,0.0,0.0
55,랜덤채팅의 그녀!,1.0,0.0,0.0,0.0,0.0,0.0
56,신도림,1.0,0.0,0.0,0.0,0.0,0.0
57,니나의 마법서랍,0.0,0.0,1.0,0.0,0.0,0.0
58,헬58,0.0,0.0,0.0,1.0,0.0,0.0
59,삼국지톡,1.0,0.0,0.0,0.0,0.0,0.0
60,달콤살벌한 부부,0.0,1.0,0.0,0.0,0.0,0.0
61,호랑이 들어와요,0.0,0.0,1.0,0.0,0.0,0.0
62,집이 없어,0.0,0.0,1.0,0.0,0.0,0.0
63,오피스 누나 이야기,0.0,1.0,0.0,0.0,0.0,0.0
64,원주민 공포만화,0.0,0.0,0.0,1.0,0.0,0.0
65,윌유메리미,0.0,0.0,1.0,0.0,0.0,0.0
66,위아더좀비,0.0,0.0,1.0,0.0,0.0,0.0
67,하우스키퍼,0.0,1.0,0.0,0.0,0.0,0.0
68,아이레,1.0,0.0,0.0,0.0,0.0,0.0
69,견우와 선녀,0.0,1.0,0.0,0.0,0.0,0.0
70,빌런투킬,1.0,0.0,0.0,0.0,0.0,0.0
71,용왕님의 셰프가 되었습니다,0.0,1.0,0.0,0.0,0.0,0.0
72,"플레이, 플리",0.0,1.0,0.0,0.0,0.0,0.0
73,성인초딩,1.0,0.0,0.0,0.0,0.0,0.0
74,3cm 헌터,1.0,0.0,0.0,0.0,0.0,0.0
75,아이즈,1.0,0.0,0.0,0.0,0.0,0.0
76,올가미,0.0,1.0,0.0,0.0,0.0,0.0
77,빅맨,0.0,1.0,0.0,0.0,0.0,0.0
78,정년이,0.0,1.0,0.0,0.0,0.0,0.0
79,은주의 방 2~3부,0.0,0.0,1.0,0.0,0.0,0.0
80,악인,1.0,0.0,0.0,0.0,0.0,0.0
81,제로게임,0.0,1.0,0.0,0.0,0.0,0.0
82,연우의 순정,0.0,1.0,0.0,0.0,0.0,0.0
83,열녀박씨 계약결혼뎐,0.0,1.0,0.0,0.0,0.0,0.0
84,태시트,1.0,0.0,0.0,0.0,0.0,0.0
85,숲속의 담,0.0,0.0,1.0,0.0,0.0,0.0
86,오파츠,1.0,0.0,0.0,0.0,0.0,0.0
87,나타나주세요!,0.0,1.0,0.0,0.0,0.0,0.0
88,나의 플랏메이트,0.0,1.0,0.0,0.0,0.0,0.0
89,대신 심부름을 해다오,0.0,1.0,0.0,0.0,0.0,0.0
90,안식의 밤,0.0,0.0,0.0,1.0,0.0,0.0
91,조선홍보대행사 조대박,0.0,0.0,1.0,0.0,0.0,0.0
92,자판귀,1.0,0.0,0.0,0.0,0.0,0.0
93,급식러너,1.0,0.0,0.0,0.0,0.0,0.0
94,언메이크,1.0,0.0,0.0,0.0,0.0,0.0
95,완벽한 가족,0.0,1.0,0.0,0.0,0.0,0.0
96,풋내기들,0.0,1.0,0.0,0.0,0.0,0.0
97,인문학적 감수성,0.0,1.0,0.0,0.0,0.0,0.0
98,피로만땅,0.0,1.0,0.0,0.0,0.0,0.0
99,하나in세인,0.0,1.0,0.0,0.0,0.0,0.0
100,헬퍼 2 : 킬베로스,0.0,0.0,0.0,1.0,0.0,0.0
101,전지적 독자 시점,1.0,0.0,0.0,0.0,0.0,0.0
102,모죠의 일지,0.0,0.0,1.0,0.0,0.0,0.0
103,튜토리얼 탑의 고인물,1.0,0.0,0.0,0.0,0.0,0.0
104,캐슬,1.0,0.0,0.0,0.0,0.0,0.0
105,급식아빠,1.0,0.0,0.0,0.0,0.0,0.0
106,화산귀환,1.0,0.0,0.0,0.0,0.0,0.0
107,남주의 첫날밤을 가져버렸다,0.0,1.0,0.0,0.0,0.0,0.0
108,여주실격!,0.0,1.0,0.0,0.0,0.0,0.0
109,세상은 돈과 권력,1.0,0.0,0.0,0.0,0.0,0.0
110,노곤하개,0.0,0.0,1.0,0.0,0.0,0.0
111,일렉시드,0.0,1.0,0.0,0.0,0.0,0.0
112,연놈,0.0,0.0,1.0,0.0,0.0,0.0
113,나쁜사람,1.0,0.0,0.0,0.0,0.0,0.0
114,고삼무쌍,1.0,0.0,0.0,0.0,0.0,0.0
115,닥터앤닥터 육아일기,0.0,0.0,1.0,0.0,0.0,0.0
