,0813title,0813code,webtoon_from_kor,author,ending_Y/N,주2회연재
0,SubZero,1468,,,,
1,The First Night With the Duke,1267,남주의 첫날밤을 가져버렸다,"황도톨,티바 / MSG",N,749639
2,Nice To Meet You,2066,,,,
3,Tricked into Becoming the Heroine's Stepmother,3039,,,,
4,Everything is Fine,2578,,,,
5,To Love Your Enemy,2114,원수를 사랑하라,정윤 / 태건,N,733079
6,Tower of God,95,신의 탑,SIU,N,183559
7,Rooftops & Roommates,2576,,,,
8,My Giant Nerd Boyfriend,958,,,,
9,Your Smile is a Trap,2052,너의 미소가 함정,앵고,N,741467
10,It's Mine,2010,이츠마인,럭스,N,710760
11,Dungeons & Artifacts,2575,,,,
12,The Doctors are Out,1910,,,,
13,A Useless Villain,2969,,,,
14,Spells From Hell,2431,,,,
15,Once a Hero,3211,,,,
16,WEBTOON Now,2025,,,,
17,No Longer A Heroine!,1264,여주실격!,기맹기,N,738143
18,Let Me Stay Over Tonight!,2683,,,,
19,Wind Breaker,372,윈드브레이커,조용석,N,602910
20,To You Who Swallowed a Star,2533,,,,
21,How to Survive a Romance Fantasy,2855,,,,
22,Code Adam,1657,,,,
23,Safely Endangered,352,,,,
24,Room of Swords,1261,,,,
25,The Fabled Warrior,3179,,,,
26,The Build Up,2712,,,,
27,Marry Me!,1951,,,,
28,Midnight Rain,1797,,,,
29,Kidults,2968,,,,
30,If AI Ruled the World,2605,,,,
31,Gecko Chan,2717,,,,
32,Plum,1605,,,,
33,Kubera,83,쿠베라,카레곰,N,131385
34,Trump,84,트럼프,이채은,N,524520
35,Cursed Princess Club,1537,,,,
36,The Four of Them,1524,,,,
37,Heir's Game,1445,,,,
38,EMPYREA,1407,,,,
39,Edith,1536,,,,
40,BRAIN Anthology,2207,,,,
41,Down To Earth,1817,,,,
42,Let's Play,1218,,,,
43,Boyfriends.,2616,,,,
44,My Deepest Secret,1580,,,,
45,Villain to Kill,2857,,,,
46,The Advanced Player of the Tutorial Tower,2409,,,,
47,The Makeup Remover,2186,화장 지워주는 남자,이연,Y,
48,Acception,1513,,,,
49,Eleceed,1571,일렉시드,손제호 / 제나,N,717481
50,Hero Killer,2745,,,,
51,Purple Hyacinth,1621,,,,
52,The Wrath & the Dawn,1772,,,,
53,Homesick,2759,,,,
54,Odd Girl Out,1420,소녀의 세계,모랑지,N,654774
55,Seasons of Blossom,2509,,,,
